date,demand,RRP,temp_ave,solar_exposure
31/05/2019,133869.14,100.7077503,11.4,5.7
1/06/2019,120653.435,113.2446372,13.15,5.8
2/06/2019,118086.93,108.9225857,12.75,6.7
3/06/2019,135437.85,115.7252699,10.1,3.8
4/06/2019,136149.125,149.1184438,10.65,7.9
5/06/2019,137844.815,155.9883292,10.8,5.7
6/06/2019,134971.775,162.4919949,12.5,7.9
7/06/2019,132003.44,139.2008162,14.15,8
8/06/2019,117243.63,102.4160856,12.7,9.3
9/06/2019,110669.42,69.56130597,12.9,8
10/06/2019,108133.03,47.48787404,15.6,7.6
11/06/2019,122760.92,73.07808171,13.75,9.2
12/06/2019,128127.75,85.79269007,14.2,1.3
13/06/2019,128535.19,79.5162514,13.1,8.9
14/06/2019,128153.195,86.65546421,13.65,7
15/06/2019,121097.845,104.4318503,12.1,6.4
16/06/2019,116811.39,111.2767338,12.65,7.5
17/06/2019,129972.915,108.7466958,12.1,8.6
18/06/2019,137922.22,101.3953781,10.85,5.2
19/06/2019,144737.12,157.026041,9.25,7
20/06/2019,148609.595,141.9795859,8.85,6.4
21/06/2019,144504.33,123.8097117,9.55,8.5
22/06/2019,132829.29,111.6098615,9.3,7.3
23/06/2019,133525.32,127.6019028,6.6,5.9
24/06/2019,146856.8,117.5189607,10.1,9
25/06/2019,145807.25,124.0512778,10.25,8.9
26/06/2019,139351.56,106.19914,11.3,9.2
27/06/2019,131023.66,77.67112944,11.7,9.2
28/06/2019,123546.62,61.81515593,15.1,9.2
29/06/2019,117924.13,52.91240414,15.3,2.6
30/06/2019,116150.915,51.90114988,11.3,8.5
1/07/2019,130565.58,67.19546461,11.8,8.3
2/07/2019,135866.75,93.1106743,12.25,6.6
3/07/2019,137327.7,97.28799981,10.95,7.5
4/07/2019,135182.725,85.90178264,9.4,6.9
5/07/2019,132774.295,78.71906603,11.3,9
6/07/2019,114660.9,64.99290405,12.7,9.3
7/07/2019,114469.88,87.74718655,13.6,6.1
8/07/2019,127307.26,101.9441713,13.5,8.2
9/07/2019,133803.985,125.0990315,10.9,7.2
10/07/2019,127092.715,84.78069491,12.45,6.7
11/07/2019,133131.52,89.21770528,11.05,4.6
12/07/2019,128384.14,90.9696995,12.9,6.2
13/07/2019,123954.31,82.19006879,9.5,8.3
14/07/2019,123740.265,81.78499643,10.1,3.8
15/07/2019,131739.2,92.26999314,11.6,7.6
16/07/2019,132941.77,114.6004499,11.9,6.4
17/07/2019,135339.82,91.54588645,11.7,3.6
18/07/2019,134119.14,85.91887883,11.65,7.9
19/07/2019,132101.86,101.5731984,11.6,9.6
20/07/2019,111288.905,52.5253199,12.55,10.3
21/07/2019,111293.15,60.15659043,13.95,8.1
22/07/2019,123618.42,64.58534309,11.75,10.6
23/07/2019,129008.62,69.86479583,12.55,8.2
24/07/2019,135782.545,87.2562993,10.7,7.8
25/07/2019,132940.63,84.07621011,12,5.2
26/07/2019,136493.13,95.23321785,12.5,5.9
27/07/2019,121958.69,94.37586715,12.55,8.7
28/07/2019,118413.135,85.71207304,10.85,10.2
29/07/2019,133205.18,95.8737528,11.75,9.9
30/07/2019,138858.045,110.4700594,10.2,8.7
31/07/2019,140275.83,153.2668494,7.75,11.3
1/08/2019,137651.135,98.96700554,9.8,8.6
2/08/2019,135633.89,106.5682167,11.2,7.4
3/08/2019,119933.7,121.5323565,11.95,6.2
4/08/2019,120350.215,127.8811699,11.15,7.2
5/08/2019,125652.055,108.4969239,12.9,10.7
6/08/2019,132120.39,89.42780511,11.3,4.5
7/08/2019,136315.38,129.2625292,11.7,7.5
8/08/2019,133004.73,95.45419528,10.3,9.6
9/08/2019,142555.105,119.9574815,8.95,7.3
10/08/2019,128554.605,94.66880878,8.85,6.6
11/08/2019,121028.325,98.10109395,8.85,11.4
12/08/2019,136683.4,163.3616367,9.15,9.9
13/08/2019,141474.265,267.3476499,10.95,7
14/08/2019,134681.435,123.8521422,11.45,6.7
15/08/2019,128119.715,76.35098087,11.75,10.5
16/08/2019,129781.155,100.0115921,13.75,6.3
17/08/2019,115460.6,75.49141332,11.75,13.4
18/08/2019,110816.375,52.02449269,14.1,9.3
19/08/2019,131067.25,81.72362524,9.05,12.8
20/08/2019,131438.55,61.92654742,12.3,7.2
21/08/2019,120747.08,54.38688032,14.05,11.5
22/08/2019,127697.99,89.13914759,11.3,11.3
23/08/2019,126763.365,91.09893111,9.45,14.5
24/08/2019,107303.475,55.14989882,12.95,13
25/08/2019,113980.3,119.3055933,9.7,13.9
26/08/2019,132704.365,142.1848103,9.85,14.7
27/08/2019,130964.885,131.1074194,9.75,12.9
28/08/2019,137660.94,140.9420211,10.85,5
29/08/2019,134233.345,135.2468604,9.55,13.2
30/08/2019,131871.08,185.2052836,8.8,15.6
31/08/2019,107616.03,79.34719837,11.6,15.8
1/09/2019,106779.475,75.51274154,15.35,9.4
2/09/2019,121697.38,92.69108892,13.9,13.8
3/09/2019,118871.215,114.8862595,14.4,16.4
4/09/2019,122652.81,144.3934345,13.45,15.1
5/09/2019,120223.175,99.34544347,14.95,14.8
6/09/2019,122222.69,67.97275419,13.65,10.4
7/09/2019,115200.19,73.467963,10.85,11.3
8/09/2019,116999.07,65.37643892,11.65,9.5
9/09/2019,130448.115,92.61396885,9.8,14.4
10/09/2019,131665.015,150.0279612,11.25,16.1
11/09/2019,121100.045,83.05214828,12.9,17.8
12/09/2019,118723.07,76.52661892,15.95,11.8
13/09/2019,120349.015,108.2140233,13.15,14
14/09/2019,103500.955,106.4610523,14.65,18.3
15/09/2019,105149.02,87.63007499,17.1,8.4
16/09/2019,119362.235,137.4673567,11.25,17.7
17/09/2019,124129.44,149.599176,9.2,19
18/09/2019,119715.705,151.2558046,11.6,19.2
19/09/2019,108102.56,82.43824146,16.1,19.4
20/09/2019,107222.345,106.2793137,20.95,14.4
21/09/2019,101348.35,112.2577451,16.95,10.5
22/09/2019,102386.525,103.2310155,11.7,13.6
23/09/2019,121862.885,109.7326738,12.05,13.9
24/09/2019,125787.33,148.2298325,11.7,13.3
25/09/2019,124302.93,192.4850347,12.65,13.1
26/09/2019,117320.175,139.4994437,14.3,19.6
27/09/2019,106043.02,69.64095969,15.55,7.4
28/09/2019,108762.31,132.2621226,11.05,17.7
29/09/2019,104804.09,90.4013205,12.45,19
30/09/2019,121770.82,107.8227368,12.1,14.4
1/10/2019,117265.275,121.3908912,12.35,21.7
2/10/2019,110760.825,108.6616766,17.9,18.5
3/10/2019,109312.85,108.8439126,22.4,22
4/10/2019,117512.56,136.3619947,13.85,11
5/10/2019,101386.01,88.04906289,15.95,17.4
6/10/2019,93011.345,54.72011454,18.85,17.4
7/10/2019,113296.31,112.0755955,14,15.1
8/10/2019,117504.775,130.6718253,11.85,17
9/10/2019,122771.82,131.5850422,11.75,19.3
10/10/2019,123692.08,167.9811358,12.45,12.6
11/10/2019,115250.505,114.6969754,14.2,17.5
12/10/2019,101053.365,93.12022349,14.3,20.1
13/10/2019,94744.7,90.16423585,16.25,19.6
14/10/2019,110290.12,119.0137926,20.15,20.2
15/10/2019,112052.12,123.2613285,15.5,20.6
16/10/2019,117533.72,116.3406692,16.85,11.4
17/10/2019,116690.04,92.4980437,12.35,9.6
18/10/2019,109857.485,76.31832856,14.7,23.2
19/10/2019,102032.495,67.01442281,12.35,15.8
20/10/2019,102684.515,87.53321242,13.2,14.7
21/10/2019,114502.07,111.6668677,14.25,19.6
22/10/2019,114108.545,111.449844,15.75,23.7
23/10/2019,114281.615,99.73613303,18.05,26
24/10/2019,115442.655,82.37009654,23.4,26.1
25/10/2019,109130.77,70.88468961,19.2,10
26/10/2019,96698.285,44.84928375,12.55,17.2
27/10/2019,102830.555,87.80824298,13.65,10.1
28/10/2019,112634.635,104.0916075,15.15,26.3
29/10/2019,111887.405,130.1986817,20.1,27
30/10/2019,117375.73,130.318312,19.45,27.2
31/10/2019,121752.875,89.65963518,23.95,25.5
1/11/2019,130510.905,90.3188415,27.15,22.8
2/11/2019,105806.825,90.79891252,17.35,2.2
3/11/2019,96867.015,72.3988408,16.75,7.8
4/11/2019,107279.84,79.09640417,12.85,11.2
5/11/2019,96817,66.47681474,13.65,27.4
6/11/2019,104381.38,58.45195188,17.3,19.9
7/11/2019,115132.64,63.89768627,14.6,8.3
8/11/2019,113954.78,81.07754151,12.65,16.1
9/11/2019,108924.79,70.47488424,10.9,9.8
10/11/2019,101550.045,86.63900971,14.45,13.5
11/11/2019,106758.95,66.49132611,19.8,27.4
12/11/2019,104303.46,57.06984589,14.45,12.7
13/11/2019,112573.54,64.51938945,13.2,12
14/11/2019,109828.93,74.43626304,17.25,19.7
15/11/2019,110954.755,72.06559877,15.75,12.4
16/11/2019,97646.12,67.18721945,13.2,23.9
17/11/2019,96742.49,66.41186458,13.5,24.1
18/11/2019,109148.25,72.2810715,17.7,29.9
19/11/2019,112033.87,81.95589562,15,27.9
20/11/2019,119736.125,83.7632517,22.05,30.1
21/11/2019,131312,72.81531121,27.45,18.8
22/11/2019,109049.365,65.41297801,16.8,28.3
23/11/2019,97245.765,49.79429278,16.95,24.6
24/11/2019,96778.25,60.75544396,17.8,30.6
25/11/2019,113899.3,71.00111618,19.4,18
26/11/2019,107629.16,47.35059213,13.9,22.2
27/11/2019,108417.695,59.044675,16.7,31
28/11/2019,112735.875,70.20255196,16.25,30.7
29/11/2019,114799.91,79.60572907,15.8,21.9
30/11/2019,98959.56,51.05874163,14.35,26.7
1/12/2019,100233.98,33.15486702,14.5,9.8
2/12/2019,110609.4,29.07038255,12.65,18.2
3/12/2019,109094.04,19.17095068,16.6,19.2
4/12/2019,107400.705,39.41504815,17.55,20.3
5/12/2019,107891.69,45.83032615,18.1,20.4
6/12/2019,105028.985,41.38035927,17.05,18.2
7/12/2019,95436.3,47.12307019,16.1,30.3
8/12/2019,97577.415,43.69041139,20.7,30.8
9/12/2019,127910.835,62.71879257,27.15,28.6
10/12/2019,109548.62,48.33616468,15.75,22.2
11/12/2019,109060.375,57.73048537,15.75,21.8
12/12/2019,108599.065,41.64754349,15.9,22.7
13/12/2019,107070.61,58.51737364,16.15,24.8
14/12/2019,101239.235,65.76524835,17.1,10.4
15/12/2019,98723.45,50.93674307,18.4,16.4
16/12/2019,114400.065,73.60174913,17.8,21.7
17/12/2019,123999.07,83.08408218,19.45,29.5
18/12/2019,146990.89,95.80297192,28,29.3
19/12/2019,125050.61,71.95351192,20.25,29.3
20/12/2019,150553.4,243.8101596,28.6,31.4
21/12/2019,100632.475,44.94113626,18.55,28.3
22/12/2019,90145.615,34.67870591,16.35,31.5
23/12/2019,101818.025,47.19823427,16.05,29.2
24/12/2019,102168.93,57.33130511,19.3,31.4
25/12/2019,98312.745,42.25723939,20.95,32
26/12/2019,96120.525,41.25598668,18.5,26.2
27/12/2019,107256.065,56.12245133,18.75,31.6
28/12/2019,113521.685,63.2954493,22.55,20.6
29/12/2019,118293.525,87.68668878,25,31.9
30/12/2019,140410.125,295.8292019,30.25,18.8
31/12/2019,95410.39,46.25148392,18.25,29.3
1/01/2020,89077.855,50.92180276,18.35,31.6
2/01/2020,102988.185,69.54622563,18.9,31.6
3/01/2020,118922.215,65.43592156,25.15,30.7
4/01/2020,102245.61,28.04223073,22.7,22.8
5/01/2020,95671.2,18.87543557,14.7,5.1
6/01/2020,110253.59,56.10440026,14.95,2.7
7/01/2020,109336.56,59.42379013,16.35,7.7
8/01/2020,110038.625,53.31322981,20.3,26.9
9/01/2020,127365.59,86.98086498,24.9,29.8
10/01/2020,122533.88,65.48598559,26.5,10.1
11/01/2020,91886.605,22.78453983,16.4,18.2
12/01/2020,91797.595,45.62791308,17.05,21.9
13/01/2020,119653.945,76.95247324,22.45,28.1
14/01/2020,137302.605,88.84765354,25.25,27.4
15/01/2020,137408.225,63.73047072,28.15,20.8
16/01/2020,109669.645,33.40442593,17.65,18.6
17/01/2020,108108.175,39.50076193,19.6,24.4
18/01/2020,105946.34,52.05315547,21.65,27.2
19/01/2020,106921.555,60.34705595,21.5,23.9
20/01/2020,116291.535,45.35933548,20.45,8.8
21/01/2020,112128.195,53.56486954,19.15,28.4
22/01/2020,119287.15,45.15569085,22.9,12.4
23/01/2020,112254.83,-1.761423453,17.75,13.4
24/01/2020,109316.375,49.47943371,17.9,20.6
25/01/2020,102445.88,50.13282313,20.2,30
26/01/2020,101233.205,51.41502923,19.7,24
27/01/2020,103134.46,54.45308234,17.95,26.1
28/01/2020,116190.555,67.1738294,19.5,26.5
29/01/2020,129812.915,78.27234224,23.35,29.5
30/01/2020,154816.49,1044.447303,27.9,29.3
31/01/2020,170653.84,2809.437516,32.2,18.3
1/02/2020,131856.315,86.90860795,26.4,1.8
2/02/2020,97609.06,14.2356353,19.65,21
3/02/2020,105004.91,15.31077199,15.45,22.7
4/02/2020,107034.065,25.21209272,15.5,28.6
5/02/2020,108988.44,42.116875,15.45,27.1
6/02/2020,120569.46,42.7660323,19.6,25
7/02/2020,120734.85,45.33242536,19.85,18.4
8/02/2020,107864.445,28.57090708,23.4,27.5
9/02/2020,103857.11,21.55549181,23.9,19.9
10/02/2020,122975.46,50.80924218,23.1,15
11/02/2020,127110.58,61.28984085,22.7,19.1
12/02/2020,124618.565,53.24352505,23.4,17.3
13/02/2020,139137.185,79.01849432,25.55,26.7
14/02/2020,139855.63,79.50264397,27,10.6
15/02/2020,108300.635,55.67496226,19.1,2.4
16/02/2020,100904.27,47.00473539,21.65,23.8
17/02/2020,123351.845,64.10902188,20.4,26.4
18/02/2020,119178.12,60.59554515,19.7,7.3
19/02/2020,109375.215,51.44203692,16.5,12.9
20/02/2020,112202.145,58.36129092,16.45,15.2
21/02/2020,108949.055,48.65820337,16.55,17.1
22/02/2020,96922.02,42.23609358,16.25,25.4
23/02/2020,106129.665,51.31845616,23.65,21.6
24/02/2020,122619.055,57.23408318,20.25,5.4
25/02/2020,123558.425,60.55470181,25,10.6
26/02/2020,108371.125,45.06152522,17.7,19.3
27/02/2020,108675.4,48.54266915,15.35,11.1
28/02/2020,110006.97,50.30635286,16.6,17.6
29/02/2020,100380.94,51.28960873,18.55,22.8
1/03/2020,101413.145,43.74592103,22.65,20.8
2/03/2020,106359.955,52.72839509,16.3,21.1
3/03/2020,108746.37,49.78108973,17.1,15.9
4/03/2020,117505.625,58.52287051,18.55,7.1
5/03/2020,119734.635,57.03638211,17.85,4.3
6/03/2020,111322.325,53.73651471,17.45,12.7
7/03/2020,96850.78,28.02046621,17.7,17.1
8/03/2020,92553.29,17.91641531,18.15,19.5
9/03/2020,94641.7,22.04145155,16.65,19.7
10/03/2020,112142.54,48.05972395,16.3,21.9
11/03/2020,118830.14,44.36993675,21.05,15.7
12/03/2020,120272.775,39.12756574,23.05,19.5
13/03/2020,115075.81,40.12713492,22.95,7.3
14/03/2020,96016.19,29.13732578,15.5,12.3
15/03/2020,97664.935,31.65784001,15.75,10.2
16/03/2020,110586.815,46.67088405,17.9,20.6
17/03/2020,115254.185,52.45119827,19.9,19.9
18/03/2020,121127.145,51.29144223,23,9.1
19/03/2020,127266.86,47.56265955,24.55,8.2
20/03/2020,111547.605,40.76436769,19.4,12.6
21/03/2020,103999.335,47.45869875,16.5,10.8
22/03/2020,97449.685,34.6180548,15.2,15.2
23/03/2020,112906.945,44.639439,14.9,9.9
24/03/2020,114935.545,49.44768766,13.2,15.8
25/03/2020,113147.815,43.72083739,14.15,7.6
26/03/2020,110088.01,45.52124524,16.75,15.5
27/03/2020,111958.245,49.31850031,20.6,17.8
28/03/2020,97923.715,47.96327104,21.15,16.9
29/03/2020,95953.205,42.33862791,21.45,9.5
